Week_Start,Week_End,Opening_Balance,Total_Income,Total_Expense,Net_Flow,Closing_Balance,Notes
2024-12-02,2024-12-08,0,3750,23000,-19250,-19250,First week sales. Tintu order. Manufacturing cost paid.
2024-12-09,2024-12-15,-19250,9700,0,9700,-9550,Palaxi cinema order. HiLite retail.
2024-12-16,2024-12-22,-9550,30400,0,30400,20850,"Aaliyah, Nishant, Indaids, Biotex orders."
2024-12-23,2024-12-29,20850,2825,0,2825,23675,"Jincy, Greeshma orders."
2024-12-30,2025-01-05,23675,14375,0,14375,38050,"Pee Jay, TealStory, HorgStore, Nihara orders."
2025-01-06,2025-01-12,38050,13650,0,13650,51700,"Vithulya, Livbio, HiLite restock."
2025-01-13,2025-01-19,51700,3977,0,3977,55677,Nihara orange bars.
2025-01-20,2025-01-26,55677,3000,0,3000,58677,Nihara almond/peanut bars.
2025-01-27,2025-02-02,58677,10800,0,10800,69477,Naveen corporate order.
2025-02-03,2025-02-09,69477,3300,0,3300,72777,Exhibition sales + HorgStore.
2025-08-25,2025-08-31,72777,1300,0,1300,74077,"Abhijith, Surya, Sreejith, Jayaseree retail sales."
2025-09-01,2025-09-07,74077,1250,0,1250,75327,"Shephy, Sarun, Vineeth retail. GVQ orders."
2025-09-08,2025-09-14,75327,11375,0,11375,86702,Venugopal 35 boxes. Jai pending order.
2025-09-15,2025-09-21,86702,30000,0,30000,116702,Naveen 60 bars. Major week.
2025-09-22,2025-09-28,116702,10300,0,10300,127002,"GVQ, WS orders. Porter delivery."
2025-09-29,2025-10-05,127002,12850,0,12850,139852,Prestige exhibition. Cash + GPay.
2025-10-06,2025-10-12,139852,5000,0,5000,144852,Green Health Summit sales.
2025-10-13,2025-10-19,144852,860,0,860,145712,"Fabitha, Anaz retail orders."
2025-10-20,2025-10-26,145712,32500,0,32500,178212,Amsperry corporate 100 bars.
2025-11-01,2025-11-07,178212,7200,0,7200,185412,GVQ orders. Nihara received.
2025-11-08,2025-11-14,185412,4000,0,4000,189412,"Rochas, HorgStore orders."
2025-11-15,2025-11-21,189412,2620,0,2620,192032,Resmi retail order.
2025-11-22,2025-11-28,192032,3750,0,3750,195782,Tintu order.
2025-11-29,2025-12-05,195782,30000,0,30000,225782,Watermark 200 orange bars.
2025-12-06,2025-12-12,225782,14000,0,14000,239782,CISB hampers.
2025-12-13,2025-12-19,239782,6499,0,6499,246281,Nihara order. Payment received Jan 2026.
2025-12-20,2025-12-26,246281,1875,0,1875,248156,Ajmal order.
2025-12-27,2026-01-02,248156,2400,0,2400,250556,Welmont order.
2026-01-03,2026-01-09,250556,24000,0,24000,274556,Elvin order. 8g bars. Gudoria brand.
2026-01-10,2026-01-16,274556,7100,0,7100,281656,"Vinod, Jayagopan BNI orders."
2026-01-17,2026-01-23,281656,4500,0,4500,286156,Sunitha order.
2026-01-24,2026-01-30,286156,9000,0,9000,295156,Naveen pending order.
2026-01-31,2026-02-06,295156,7760,0,7760,302916,Nihara GST invoice. Prevalent hamper.
2026-02-07,2026-02-13,302916,1900,0,1900,304816,Kannan order.
2026-02-14,2026-02-20,304816,0,0,0,304816,No major transactions recorded.
2026-02-21,2026-02-27,304816,3000,0,3000,307816,Sivanandan order.
2026-03-01,2026-03-07,307816,13770,0,13770,321586,Recca Fest sales.
2026-03-08,2026-03-14,321586,7645,0,7645,329231,Sam order. Kulam Fest sales.
2026-03-15,2026-03-21,329231,1800,0,1800,331031,Priyanka order.
2026-03-22,2026-03-28,331031,1680,0,1680,332711,Nidhish order.
2026-03-29,2026-04-04,332711,1905,0,1905,334616,Tina order.
2026-04-05,2026-04-11,334616,15560,0,15560,350176,Kimchi Fest sales.
2026-04-12,2026-04-18,350176,520,0,520,350696,Sahana order.
2026-04-19,2026-04-25,350696,0,0,0,350696,No major transactions.
2026-04-26,2026-05-02,350696,7000,0,7000,357696,WellGenome order.
2026-05-03,2026-05-09,357696,4510,0,4510,362206,WS order. Received May 2026.
2026-05-10,2026-05-16,362206,7760,0,7760,369966,Nihara order. Received May 2026.
2026-05-17,2026-05-23,369966,0,0,0,369966,No major transactions.
2026-05-24,2026-05-30,369966,0,0,0,369966,No major transactions.
2026-05-31,2026-06-06,369966,0,0,0,369966,No major transactions.
2026-06-07,2026-06-13,369966,0,0,0,369966,No major transactions.
2026-06-14,2026-06-20,369966,0,0,0,369966,No major transactions.
2026-06-21,2026-06-27,369966,0,0,0,369966,No major transactions.
2026-06-28,2026-07-04,369966,0,0,0,369966,No major transactions.
2026-07-05,2026-07-11,369966,0,0,0,369966,No major transactions.
2026-07-12,2026-07-18,369966,0,0,0,369966,No major transactions.
2026-07-19,2026-07-25,369966,0,0,0,369966,BNI Confluence 2026 event week. Leads collected.
