Date_Updated,Flavor,SKU,Weight_Grams,Qty_25g_Bars,Qty_8g_Pieces,Qty_Box_6pc,Qty_Box_8pc,Batch_ID,Expiry_Date,Location,Notes
2025-07-03,Almond Noir,GUD-25G-ALM,25,133,0,0,0,BATCH-002,,Nimmi Stock,As on 3 July 2025
2025-07-03,Peanut Royale,GUD-25G-PNT,25,133,0,0,0,BATCH-002,,Nimmi Stock,As on 3 July 2025
2025-07-03,Orange Sunset,GUD-25G-ORG,25,133,0,0,0,BATCH-002,,Nimmi Stock,As on 3 July 2025
2025-07-03,Sun-Kissed Lemon,GUD-25G-LMN,25,25,0,0,0,BATCH-002,,Nimmi Stock,As on 3 July 2025
2025-08-10,Almond Noir,GUD-25G-ALM,25,70,0,0,0,BATCH-002,,Nimmi Stock,As on 10 Aug 2025
2025-08-10,Peanut Royale,GUD-25G-PNT,25,75,0,0,0,BATCH-002,,Nimmi Stock,As on 10 Aug 2025
2025-08-10,Orange Sunset,GUD-25G-ORG,25,9,0,0,0,BATCH-002,,Nimmi Stock,As on 10 Aug 2025
2025-08-10,Sun-Kissed Lemon,GUD-25G-LMN,25,17,0,0,0,BATCH-002,,Nimmi Stock,As on 10 Aug 2025
2025-09-18,Almond Noir,GUD-25G-ALM,25,10,0,0,0,BATCH-002,,Nimmi Stock,As on 18 Sep 2025
2025-09-18,Peanut Royale,GUD-25G-PNT,25,74,0,0,0,BATCH-002,,Nimmi Stock,As on 18 Sep 2025
2025-09-18,Orange Sunset,GUD-25G-ORG,25,76,0,0,0,BATCH-002,,Nimmi Stock,As on 18 Sep 2025
2025-09-18,Sun-Kissed Lemon,GUD-25G-LMN,25,52,0,0,0,BATCH-002,,Nimmi Stock,As on 18 Sep 2025
2025-10-06,Almond Noir,GUD-25G-ALM,25,103,0,0,0,BATCH-002,,Nimmi Stock,As on 6 Oct 2025
2025-10-06,Peanut Royale,GUD-25G-PNT,25,98,0,0,0,BATCH-002,,Nimmi Stock,As on 6 Oct 2025
2025-10-06,Orange Sunset,GUD-25G-ORG,25,110,0,0,0,BATCH-002,,Nimmi Stock,As on 6 Oct 2025
2025-10-06,Sun-Kissed Lemon,GUD-25G-LMN,25,131,0,0,0,BATCH-002,,Nimmi Stock,As on 6 Oct 2025
2026-02-08,Almond Noir,GUD-8G-ALM,8,0,346,0,0,BATCH-003,,Gudoria Stock,Manual stock taking 8 Feb 2026
2026-02-08,Peanut Royale,GUD-8G-PNT,8,0,450,0,0,BATCH-003,,Gudoria Stock,Manual stock taking 8 Feb 2026
2026-02-08,Orange Sunset,GUD-8G-ORG,8,0,195,0,0,BATCH-003,,Gudoria Stock,Manual stock taking 8 Feb 2026
2026-02-08,Sun-Kissed Lemon,GUD-8G-LMN,8,0,63,0,0,BATCH-003,,Gudoria Stock,Manual stock taking 8 Feb 2026
2026-02-08,Almond Noir,GUD-25G-ALM,25,83,0,0,0,BATCH-003,,Gudoria Stock,Manual stock taking 8 Feb 2026
2026-02-08,Peanut Royale,GUD-25G-PNT,25,123,0,0,0,BATCH-003,,Gudoria Stock,Manual stock taking 8 Feb 2026
2026-02-08,Orange Sunset,GUD-25G-ORG,25,0,0,0,0,BATCH-003,,Gudoria Stock,Manual stock taking 8 Feb 2026 - Out of stock
2026-02-08,Sun-Kissed Lemon,GUD-25G-LMN,25,0,0,0,0,BATCH-003,,Gudoria Stock,Manual stock taking 8 Feb 2026 - Out of stock
