Order_ID,Date,Customer_ID,Channel,Items,Qty,Price_Per_Unit,GST_Percent,Total_Value,Payment_Status,Delivery_Status,Delivery_Method,Tracking_ID,Invoice_Link,Notes
ORD-0001,2024-12-04,CUST-0024,WhatsApp,Almond 25g x25,25,150.0,0,3750.0,Paid,Delivered,Self,,001-GūD-2024-Tintu,
ORD-0002,2024-12-05,CUST-0025,Store A,"Almond 25g x50, Peanut 25g x50",100,97.0,0,9700.0,Paid,Delivered,Self,,002-GūD-2024-HiLite,8245 received after adjusting the return chocolates amount
ORD-0003,2024-12-17,CUST-0026,WhatsApp,Box x35,35,340.0,0,11900.0,Paid,Delivered,Self,,003-GūD-2024-Aaliyah,
ORD-0004,2024-12-17,CUST-0027,WhatsApp,"Box x1, Almond 25g x1, Peanut 25g x1, Lemon 25g x1, Orange 25g x1",5,900.0,0,1500.0,Paid,Delivered,Self,,004-GūD-2024-Nishant,"Hamper Basket, Coffee Powder"
ORD-0005,2024-12-17,CUST-0028,WhatsApp,Box x20,20,340.0,0,6800.0,Paid,Delivered,Self,,005-GūD-2024-Indaids,
ORD-0006,2024-12-19,CUST-0029,WhatsApp,Box x100,100,330.0,0,33000.0,Paid,Delivered,Self,,006-GūD-2024-Biotex,
ORD-0007,2024-12-18,CUST-0030,WhatsApp,"Almond 25g x1, Peanut 25g x1",2,150.0,0,300.0,Paid,Delivered,Self,,007-GūD-2024-Jincy,EatKochiEat
ORD-0008,2024-12-18,CUST-0031,WhatsApp,"Box x1, Peanut 25g x1",2,375.0,0,525.0,Paid,Delivered,Self,,008-GūD-2024-Greeshma,
ORD-0009,2024-12-22,CUST-0032,WhatsApp,Box x5,5,375.0,0,1875.0,Paid,Delivered,Self,,009-GūD-2024-Pee Jay & Sons,
ORD-0010,2024-12-22,CUST-0033,WhatsApp,Box x10,10,300.0,0,3000.0,Pending,Pending,Self,,010-GūD-2024-Arun,
ORD-0011,2024-12-22,CUST-0034,WhatsApp,"Box x1, Almond 25g x3, Peanut 25g x2, Lemon 25g x4, Orange 25g x3",13,337.5,0,1957.5,Partial,Shipped,Self,,011-GūD-2024-D7,Payment as per sale with 10% commission
ORD-0012,2024-12-26,CUST-0035,WhatsApp,Box x6,6,375.0,0,2250.0,Paid,Delivered,Self,,012-GūD-2024-TealStory,
ORD-0013,2024-12-28,CUST-0036,Store A,"Almond 25g x5, Peanut 25g x5, Lemon 25g x5, Orange 25g x5",20,100.0,0,2000.0,Paid,Delivered,Self,,013-GūD-2024-HorgStore,
ORD-0014,2024-12-30,CUST-0033,WhatsApp,Box x25,25,300.0,0,7500.0,Paid,Delivered,Self,,014-GūD-2024-Nihara,
ORD-0015,2024-12-31,CUST-0037,WhatsApp,"Box x2, Almond 25g x2, Peanut 25g x2, Lemon 25g x2, Orange 25g x2",10,375.0,0,1950.0,Paid,Delivered,Self,,015-GūD-2024-Vithulya,Gift Hamper : 3000; Box & Bars : 975 + 350 courier
ORD-0016,2024-12-31,CUST-0038,WhatsApp,Box x30,30,330.0,0,9900.0,Paid,Delivered,Self,,016-GūD-2024-Livbio,Received on 30 Jan 2025
ORD-0017,2025-01-01,CUST-0025,Store A,"Almond 25g x70, Peanut 25g x30",100,97.0,0,9700.0,Paid,Delivered,Self,,017-GūD-2024-HiLite,Transferred from Bindu s acc on 1 March 2025
ORD-0018,2025-01-11,CUST-0033,WhatsApp,Lemon 25g x41,41,97.0,0,3977.0,Paid,Delivered,Self,,018-GūD-2024-Nihara,
