Payment_ID,Date,Order_ID,Customer_ID,Amount_Received,Balance_Due,Payment_Mode,Transaction_Reference,Follow_Up_Date,Status,Notes
PAY-0001,2024-12-04,ORD-0001,CUST-0024,3750.0,0.0,UPI,,,Cleared,
PAY-0002,2024-12-05,ORD-0002,CUST-0025,9700.0,0.0,UPI,,,Cleared,8245 received after adjusting the return chocolates amount
PAY-0003,2024-12-17,ORD-0003,CUST-0026,11900.0,0.0,UPI,,,Cleared,
PAY-0004,2024-12-17,ORD-0004,CUST-0027,1500.0,0.0,UPI,,,Cleared,"Hamper Basket, Coffee Powder"
PAY-0005,2024-12-17,ORD-0005,CUST-0028,6800.0,0.0,UPI,,,Cleared,
PAY-0006,2024-12-19,ORD-0006,CUST-0029,33000.0,0.0,UPI,,,Cleared,
PAY-0007,2024-12-18,ORD-0007,CUST-0030,300.0,0.0,UPI,,,Cleared,EatKochiEat
PAY-0008,2024-12-18,ORD-0008,CUST-0031,525.0,0.0,UPI,,,Cleared,
PAY-0009,2024-12-22,ORD-0009,CUST-0032,1875.0,0.0,UPI,,,Cleared,
PAY-0010,2024-12-22,ORD-0010,CUST-0033,0.0,3000.0,UPI,,,Pending,
PAY-0011,2024-12-22,ORD-0011,CUST-0034,978.75,978.75,UPI,,,Pending,Payment as per sale with 10% commission
PAY-0012,2024-12-26,ORD-0012,CUST-0035,2250.0,0.0,UPI,,,Cleared,
PAY-0013,2024-12-28,ORD-0013,CUST-0036,2000.0,0.0,UPI,,,Cleared,
PAY-0014,2024-12-30,ORD-0014,CUST-0033,7500.0,0.0,UPI,,,Cleared,
PAY-0015,2024-12-31,ORD-0015,CUST-0037,1950.0,0.0,UPI,,,Cleared,Gift Hamper : 3000; Box & Bars : 975 + 350 courier
PAY-0016,2024-12-31,ORD-0016,CUST-0038,9900.0,0.0,UPI,,,Cleared,Received on 30 Jan 2025
PAY-0017,2025-01-01,ORD-0017,CUST-0025,9700.0,0.0,Bank Transfer,,,Cleared,Transferred from Bindu s acc on 1 March 2025
PAY-0018,2025-01-11,ORD-0018,CUST-0033,3977.0,0.0,UPI,,,Cleared,
PAY-0019,2025-01-11,ORD-0019,CUST-0039,1500.0,0.0,UPI,,,Cleared,
PAY-0020,2025-01-17,ORD-0020,CUST-0040,750.0,0.0,UPI,,,Cleared,Courier Paid by Gud
PAY-0021,2024-12-25,ORD-0021,CUST-0033,14550.0,0.0,UPI,,,Cleared,25 gms bar - Payment as per sale
PAY-0022,2024-01-20,ORD-0022,CUST-0036,1000.0,0.0,UPI,,,Cleared,28 march payment - 4000
PAY-0023,2025-01-25,ORD-0023,CUST-0041,10800.0,0.0,UPI,,,Cleared,
PAY-0024,2025-01-25,ORD-0024,CUST-0001,1200.0,0.0,UPI,,,Cleared,
PAY-0025,2025-01-25,ORD-0025,CUST-0001,1875.0,0.0,UPI,,,Cleared,
PAY-0026,2025-01-25,ORD-0026,CUST-0001,1050.0,0.0,UPI,,,Cleared,
PAY-0027,2025-01-25,ORD-0027,CUST-0001,300.0,0.0,UPI,,,Cleared,
PAY-0028,2025-01-31,ORD-0028,CUST-0001,500.0,0.0,UPI,,,Cleared,28 march payment - 4000
PAY-0029,2025-01-31,ORD-0029,CUST-0001,0.0,1500.0,UPI,,,Pending,Republic Day Gifts
PAY-0030,2025-01-31,ORD-0030,CUST-0001,0.0,150.0,UPI,,,Pending,Najma Gift
PAY-0031,2025-02-05,ORD-0031,CUST-0001,8775.0,0.0,UPI,,,Cleared,
PAY-0032,2025-02-05,ORD-0032,CUST-0001,4455.0,0.0,UPI,,,Cleared,Received payment on 20 May 2025
PAY-0033,,ORD-0033,CUST-0001,2250.0,0.0,UPI,,,Cleared,31 March 2025 as 4500
PAY-0034,2025-02-05,ORD-0034,CUST-0001,375.0,0.0,UPI,,,Cleared,Current A/c
PAY-0035,2025-02-05,ORD-0035,CUST-0001,340.0,0.0,UPI,,,Cleared,Current A/c
PAY-0036,2025-02-05,ORD-0036,CUST-0001,350.0,0.0,UPI,,,Cleared,Current A/c
PAY-0037,2025-02-05,ORD-0037,CUST-0001,450.0,0.0,UPI,,,Cleared,
PAY-0038,2025-02-05,ORD-0038,CUST-0001,250.0,0.0,UPI,,,Cleared,
PAY-0039,2025-02-05,ORD-0039,CUST-0001,625.0,0.0,UPI,,,Cleared,
PAY-0040,2025-02-06,ORD-0040,CUST-0001,2025.0,0.0,UPI,,,Cleared,
PAY-0041,2025-02-12,ORD-0041,CUST-0001,7300.0,0.0,UPI,,,Cleared,
PAY-0042,2025-02-13,ORD-0042,CUST-0001,6800.0,0.0,UPI,,,Cleared,Received on 17 Feb 2025
PAY-0043,2025-02-13,ORD-0043,CUST-0001,3250.0,0.0,UPI,,,Cleared,"Rs 2275 for 7 boxes, 3 boxes used as samples"
PAY-0044,2025-02-14,ORD-0044,CUST-0001,3000.0,0.0,UPI,,,Cleared,
PAY-0045,2025-02-14,ORD-0045,CUST-0001,600.0,0.0,UPI,,,Cleared,Received 2400 Rs on 19 April 2025
PAY-0046,2025-02-14,ORD-0046,CUST-0001,750.0,0.0,UPI,,,Cleared,45754
PAY-0047,2025-02-23,ORD-0047,CUST-0001,6445.0,0.0,UPI,,,Cleared,Pink Market Sale : Total amount gpay 13102
PAY-0048,2025-02-23,ORD-0048,CUST-0001,300.0,0.0,UPI,,,Cleared,
PAY-0049,2025-02-23,ORD-0049,CUST-0001,900.0,0.0,UPI,,,Cleared,
PAY-0050,2025-02-24,ORD-0050,CUST-0001,375.0,0.0,UPI,,,Cleared,
PAY-0051,2025-02-27,ORD-0051,CUST-0001,1200.0,0.0,UPI,,,Cleared,
PAY-0052,2025-02-28,ORD-0052,CUST-0001,750.0,0.0,UPI,,,Cleared,Payment received 16 March 2025 from Sowmya
PAY-0053,2025-01-23,ORD-0053,CUST-0036,500.0,0.0,UPI,,,Cleared,28 march payment - 4000
PAY-0054,2025-01-25,ORD-0054,CUST-0001,3300.0,0.0,UPI,,,Cleared,
PAY-0055,2025-01-25,ORD-0055,CUST-0001,600.0,0.0,UPI,,,Cleared,
PAY-0056,2025-01-25,ORD-0056,CUST-0001,125.0,0.0,UPI,,,Cleared,
PAY-0057,2025-01-31,ORD-0057,CUST-0001,2000.0,0.0,UPI,,,Cleared,28 march payment - 4000
PAY-0058,2025-01-31,ORD-0058,CUST-0001,150.0,0.0,UPI,,,Cleared,Payment done by Bindu on 7 Sep 2025
PAY-0059,2025-02-05,ORD-0059,CUST-0001,0.0,4850.0,UPI,,,Pending,
PAY-0060,2025-02-05,ORD-0060,CUST-0001,0.0,1455.0,UPI,,,Pending,
PAY-0061,,ORD-0061,CUST-0001,2250.0,0.0,UPI,,,Cleared,31 March 2025 as 4500
PAY-0062,2025-02-05,ORD-0062,CUST-0001,1050.0,0.0,UPI,,,Cleared,
PAY-0063,2025-02-05,ORD-0063,CUST-0001,1000.0,0.0,UPI,,,Cleared,
PAY-0064,2025-02-06,ORD-0064,CUST-0001,1875.0,0.0,UPI,,,Cleared,
